r,mean_absB
0.025,NaN
0.075,0.48875193280864837
0.125,0.48866564973830123
0.175,0.488637722030134
0.225,0.4886080792517895
0.275,0.48885685786153327
0.325,0.48833442167739605
0.375,0.4885071621585416
0.425,0.49006536900185316
0.475,0.4896229674813687
0.525,0.4913600659636571
0.575,0.49049681604557344
0.625,0.4923801371265442
0.675,0.5102641282990663
0.725,0.5535991243578562
0.775,0.7019758379060336
0.825,0.7988378930207434
0.875,0.866494291127151
0.925,0.8866406110728674
0.975,0.8412804402288977
1.025,0.7734189071598265
1.075,0.7051737734536181
1.125,0.616964155069396
1.175,0.544884396283034
1.225,0.39456543946188855
1.275,0.2777555345831574
1.325,0.21563508013656146
1.375,0.17436989530939065
1.425,0.14767970122992494
1.475,0.1282720933316624
1.525,0.11354862593662372
1.575,0.1016362534413577
1.625,0.09164940486360976
1.675,0.08293819549405544
1.725,0.07537870027194858
1.775,0.06880749395204136
1.825,0.06301487829811755
1.875,0.05785958143578474
1.925,0.053173455560565276
1.975,0.04897239217974756
