t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.012,0.0001930557016693114,0.00019132749607201626,1.7472351458566087e-6,3.7214552666241944e-9,8.252e-5
0.075,0.00019300212708698203,0.0001912898194412056,1.726368771602611e-6,8.684592719145605e-9,0.000345
0.137,0.00019296145180987736,0.00019121748620032765,1.756305433859802e-6,1.0409736980155834e-8,0.0004856
0.2,0.00019293944383188928,0.00019111247419546716,1.838155260938436e-6,1.173648181103262e-8,0.0005721
0.263,0.0001929382186053238,0.00019102969929015034,1.919171865153396e-6,1.2938864443507128e-8,0.0006296
0.325,0.00019295854319132703,0.00019097384004360083,1.995329968907202e-6,1.4067793398808181e-8,0.0006699
0.388,0.00019300060120899218,0.0001909277765798102,2.0835481619395714e-6,1.5139508491934396e-8,0.000699
0.45,0.0001930639106966334,0.00019088414001218088,2.190548578365648e-6,1.6158776542244742e-8,0.0007206
0.513,0.00019314761665842055,0.00019084164652479358,2.3167537870312718e-6,1.712433211888748e-8,0.0007368
0.575,0.00019325072025659488,0.00019080036771850325,2.461116921510066e-6,1.803049605508507e-8,0.0007492
0.637,0.00019337205670563843,0.00019076063940236273,2.6222770800775943e-6,1.8868407604427846e-8,0.0007587
0.7,0.00019351041232398594,0.00019072283396910235,2.798821504663093e-6,1.9632267629639532e-8,0.000766
0.762,0.00019366490433564033,0.0001906872494389108,2.9894033583349797e-6,2.0337699682513602e-8,0.0007717
0.825,0.000193834681151554,0.00019065397328153546,3.1928688477370154e-6,2.1043683015266807e-8,0.0007761
0.887,0.0001940184836318128,0.00019062277922956249,3.408395594215049e-6,2.1822334726885733e-8,0.0007795
0.95,0.0001942154165119507,0.0001905932684641788,3.6354453733905755e-6,2.266862238268033e-8,0.0007821
1.012,0.000194424972285076,0.00019056534438882978,3.8732607915581375e-6,2.3530655049378543e-8,0.000784
1.075,0.00019464612220791965,0.0001905396090791738,4.120341950877535e-6,2.443700442880882e-8,0.0007855
1.137,0.00019487794928793465,0.0001905171556470165,4.374736016940159e-6,2.5414481525779462e-8,0.0007866
1.2,0.00019511979145429078,0.00019049896404173323,4.6347494262435815e-6,2.6380272263193604e-8,0.0007875
1.262,0.00019537076083560277,0.00019048562298255235,4.899078999657605e-6,2.7290429251416855e-8,0.000788
1.325,0.00019563019400966887,0.00019047748899321212,5.166610743742561e-6,2.8180026539348735e-8,0.0007885
1.387,0.0001958974087909004,0.00019047483919915596,5.436374528475859e-6,2.9048950935929596e-8,0.0007888
1.45,0.00019617170529972742,0.0001904778819882846,5.707510113443508e-6,2.988368577266471e-8,0.000789
1.512,0.0001964524797882176,0.00019048677511909978,5.979215023079103e-6,3.0691132155234453e-8,0.0007892
1.575,0.00019673903467775026,0.00019050166324010358,6.250743488560288e-6,3.1460463141490525e-8,0.0007893
1.637,0.00019703069568951105,0.00019052272501022215,6.521335166574054e-6,3.218601472564341e-8,0.0007894
1.7,0.00019732663987897213,0.00019055021976979134,6.790165049281697e-6,3.287141222172197e-8,0.0007896
1.762,0.00019762643494983533,0.00019058443460987136,7.056387809914435e-6,3.353731802589714e-8,0.0007898
1.825,0.0001979299566763078,0.00019062535699800775,7.319429704026637e-6,3.4254833967320454e-8,0.00079
1.887,0.00019823672850739215,0.0001906721277832523,7.5795483245903265e-6,3.5127444833269214e-8,0.0007903
1.95,0.00019854593059908881,0.00019072291087110803,7.838092625381139e-6,3.6161210308703735e-8,0.0007906
2.012,0.00019885731805160354,0.00019077603089284246,8.096434843816276e-6,3.7196764428216345e-8,0.000791
2.075,0.00019917084984006475,0.0001908317618514251,8.353963076424258e-6,3.812872709775838e-8,0.0007914
2.137,0.00019948562029823715,0.00019089231869019125,8.607960925017846e-6,3.903162894166686e-8,0.000792
2.2,0.00019980097532995225,0.0001909593147604594,8.856407745453064e-6,3.9900864534225715e-8,0.0007926
2.262,0.0002001169698230046,0.0001910323260056398,9.099429766423179e-6,4.063877867279157e-8,0.0007933
2.325,0.0002004332069447069,0.00019111085814037745,9.337057225107418e-6,4.1327488948550746e-8,0.0007941
2.388,0.00020074901371311602,0.00019119573970366466,9.568010273907188e-6,4.204863760488896e-8,0.000795
2.45,0.00020106419173951,0.00019128735266375996,9.791601787762974e-6,4.275236167063928e-8,0.000796
2.513,0.0002013785696899497,0.00019138460556435532,1.000862298688801e-5,4.3398034867175536e-8,0.0007971
2.575,0.00020169153800474619,0.0001914864391713156,1.0219768975351206e-5,4.401933237937717e-8,0.0007982
2.638,0.00020200296528142286,0.00019159265082896278,1.0424907197294219e-5,4.4632311170748034e-8,0.0007995
2.7,0.0002023125256084223,0.0001917030386559091,1.0623960320849767e-5,4.5209516689803784e-8,0.0008008
2.763,0.00020261977900248155,0.00019181711817602015,1.0817121465363985e-5,4.574642473773906e-8,0.0008023
2.825,0.00020292457527942018,0.0001919346279757444,1.1004344128651199e-5,4.6266783007298705e-8,0.0008038
2.888,0.00020322652270353145,0.00019205531321966015,1.1185619567622715e-5,4.675977151421299e-8,0.0008054
2.95,0.00020352544706820006,0.00019217858932348881,1.1361260982141865e-5,4.723098779238178e-8,0.0008071
3.013,0.0002038210929080267,0.00019230369299161592,1.1531778292223888e-5,4.767924420696269e-8,0.0008088
3.075,0.00020411311313186663,0.00019242969603328836,1.1697852536729709e-5,4.810901571735323e-8,0.0008107
3.138,0.000204401400352256,0.00019255567962905818,1.1860166127841437e-5,4.852475391585083e-8,0.0008126
3.2,0.00020468568858165399,0.0001926811545828162,1.2018993739020113e-5,4.892044611866475e-8,0.0008146
3.263,0.00020496576005906466,0.00019280605803113178,1.217417609175407e-5,4.93098142037464e-8,0.0008167
3.325,0.00020524138535416586,0.00019293047419081556,1.2325419742865377e-5,4.970163700339753e-8,0.0008189
3.388,0.00020551236805295102,0.0001930543553137069,1.2472577733361716e-5,5.0097886948666663e-8,0.0008211
3.45,0.0002057785925031333,0.00019317744599489504,1.2615714188478073e-5,5.0506923448712205e-8,0.0008234
3.513,0.0002060398174591446,0.00019329948351003477,1.2754915721065323e-5,5.092913027137201e-8,0.0008258
3.575,0.00020629589215175186,0.00019342028480259188,1.2890201416150606e-5,5.1361203412462695e-8,0.0008282
3.638,0.00020654662956306742,0.00019353962679986766,1.3021631682768828e-5,5.180953787491185e-8,0.0008307
