t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.257,0.1641768253226395,0.021979389798544642,1.9949319973733282e-17,1.9519785014708495e-5,1.363092418264019e-6,4,0.0025916619390212708,2.3687319449671485,2.638182138709099
0.504,0.3270761057744005,0.028261021585155036,-7.37257477290143e-18,1.637011934537137e-5,4.023947697471262e-6,4,0.00991755116551872,3.570111527937393,3.7130063221963905
0.752,0.3033570773608427,0.03594769621780786,-2.5679978976622664e-14,1.607201180258949e-5,6.043170891520454e-6,8,0.004683228051725701,6.150367927903011,8.041904476689727
1.003,0.2514324354438941,0.03138203580081922,3.1196848218877776e-11,1.5386749465714388e-5,6.295833867255762e-6,8,0.003967626111412945,5.350751081244079,6.229460292910765
1.257,0.2226890378085321,0.02237651705550245,3.4945966343987236e-8,1.6603838953014393e-5,6.165405236085556e-6,8,0.007415939834962474,3.9867639507215564,4.430941415153045
1.506,0.21105868579127782,0.01650884293498005,-6.194502884895349e-7,1.7645429581065698e-5,6.031730772215637e-6,8,0.006741977292995834,2.69302823863828,3.175911932569435
1.752,0.20819496268330862,0.01352409151458684,-4.024597619138679e-6,1.9049434952968834e-5,6.29183897663242e-6,8,0.009635141890870488,1.8918762522068038,2.3342402265923443
2.004,0.20515294569126166,0.011855384456329589,-9.405610890287665e-6,2.225676129880349e-5,7.044985784134896e-6,8,0.010674312477244832,1.425691947872207,1.8123954591064055
2.254,0.1943538589810456,0.01073651185404738,-1.369618510348343e-5,2.6841650744959145e-5,7.518458196144088e-6,8,0.011846721202448295,1.1484647751910675,1.4822345832665487
2.509,0.18278146496648645,0.009845421294525999,-2.000567537166942e-5,3.166629130968329e-5,7.592152768631069e-6,12,0.009622682793876377,0.9631163674548441,1.2662121918654694
2.756,0.17253442820118903,0.009174471000977371,-2.9034249306851578e-5,3.5898774233694274e-5,7.420079428219998e-6,8,0.013104297427080192,0.8506701897652449,1.1390538200097575
3.008,0.16297527693892191,0.008565417361764206,-3.394476680131873e-5,3.914105151111652e-5,7.126471356985027e-6,8,0.010728094832329744,0.7795733325694818,1.029578467714028
3.262,0.15398354857495766,0.007820817993191323,-3.607759640273902e-5,4.0038672846058775e-5,6.732285256892619e-6,8,0.009578666359560275,0.6829051871056735,0.9933678512239402
3.505,0.1469444635741579,0.007074113098010351,-4.126284840358775e-5,3.9329451967316474e-5,6.203802989549919e-6,8,0.009390371196053408,0.5962890016826263,0.9733158771156639
3.751,0.14258887466940187,0.006404498043394185,-4.228987321080004e-5,3.8662013703920347e-5,5.606555867211612e-6,4,0.009105398866948685,0.5363005949818354,0.9210015345188316
4.001,0.14026855896325222,0.005892417284426045,-4.029547833147651e-5,3.9056395708264956e-5,5.08814465912833e-6,4,0.011074422298098517,0.4995015727839865,0.8696869649042585
4.254,0.13550057268418947,0.005533729717474652,-4.117658531340232e-5,4.050384947896507e-5,4.706984989952783e-6,4,0.012971327001201845,0.4661833236809508,0.7882177168639485
4.511,0.12615417613887484,0.005201530122697389,-4.3899323509573535e-5,4.234172947173225e-5,4.390282625332079e-6,4,0.014773396282917097,0.42451495389868743,0.7167424189310302
4.757,0.11332233199777123,0.0048849338831928185,-4.6128837551192344e-5,4.378037835710475e-5,4.08414353718425e-6,4,0.01628566591642323,0.384766905721187,0.6700852659736402
5.005,0.09893673028017402,0.004590248433965091,-4.7755246237167395e-5,4.478773713991899e-5,3.7597161583099617e-6,4,0.017160347827573384,0.35072929244773177,0.6277718192807001
5.253,0.08880985387175316,0.004324983251484591,-4.920740614442094e-5,4.5584941168747445e-5,3.4264394148800884e-6,4,0.01800637608403255,0.3215654446364371,0.5939978285836017
5.511,0.0888338906637255,0.0040747539790044335,-5.056278283747289e-5,4.644974526564641e-5,3.078638245662584e-6,4,0.018597365028314192,0.2946438417146907,0.5561542432239234
5.762,0.09805141733238767,0.0038527254879978483,-5.145487022869882e-5,4.737455735249813e-5,2.7380439317609635e-6,4,0.019062030808058093,0.27118273550770733,0.527717087071372
6.01,0.10356538860916531,0.003654336181828566,-5.2219641768543306e-5,4.831050126209057e-5,2.3979863605702753e-6,4,0.019422893806326263,0.2506636367098032,0.5018125239554282
6.263,0.0969368020956615,0.0034741659605258815,-5.2901185580107434e-5,4.925744515415406e-5,2.053147170048178e-6,4,0.019484410257650627,0.23252047849898738,0.4734155554041297
6.505,0.08598246892743064,0.003319245582968074,-5.3592313020512164e-5,5.0159721493213324e-5,1.7327848216939576e-6,4,0.019318316058021846,0.21727418318330283,0.44798380722879266
6.751,0.07542011301357322,0.0031786533991300507,-5.481989726613878e-5,5.10726682373567e-5,1.4283260348667395e-6,4,0.019227549746299328,0.20382470078117598,0.42993275068275844
7.0,0.06722503843375643,0.00305045420384272,-5.6124562097866794e-5,5.193895808076001e-5,1.1481119203818902e-6,4,0.019211940043502154,0.19245716766270599,0.4118221788723217
7.253,0.059766429955746936,0.002924569822338346,-5.728821865416548e-5,5.260503368778851e-5,8.953853225603696e-7,4,0.019156781695204017,0.18237552866391193,0.39343349851159315
7.512,0.05162168357824544,0.00278848227275933,-5.820704538784171e-5,5.293051537502005e-5,6.625977025717226e-7,4,0.019214994946886315,0.17158528367253098,0.3763784866333495
7.759,0.04622140283299195,0.0026518724307837485,-5.892404939283934e-5,5.2906866511979063e-5,4.4679314253413517e-7,4,0.01996101700742056,0.16052789068318452,0.3663965539183779
8.007,0.046065631652738324,0.002516446816302179,-5.9605516686255314e-5,5.271942970946042e-5,2.236534940009536e-7,4,0.02206127991208326,0.14967022796713614,0.3516515059262583
8.255,0.049710834686807544,0.002390829948377744,-6.024384229927522e-5,5.26584206807215e-5,-1.4391031120209809e-8,4,0.02635472951865869,0.14000374727067427,0.3381346302757657
8.503,0.05273480965321538,0.0022799509157033497,-6.080690245598196e-5,5.297627648020279e-5,-2.679647172469104e-7,4,0.032923796536179196,0.13160779539678735,0.32136802893145866
8.75,0.052914429046348244,0.002182182028503729,-6.123628170865087e-5,5.374460040028949e-5,-5.313856794513248e-7,4,0.040761674201799845,0.1237260063832906,0.30110280232575815
9.013,0.05139190853613258,0.002086977247627893,-6.152799942903153e-5,5.495999425714231e-5,-8.099069583315474e-7,4,0.04855862528411255,0.11564205661415107,0.2848652299768402
9.258,0.049901125836163726,0.0020022351307100103,-6.174572061647988e-5,5.632851471069933e-5,-1.0608797349512998e-6,4,0.05332340324954194,0.10861167740659125,0.2686022618097579
9.503,0.04825126710005376,0.0019216297698066266,-6.201321363710462e-5,5.775531417441148e-5,-1.2874151882344077e-6,4,0.053830125432549204,0.10268985992297405,0.25396568452352797
9.763,0.04565662470195364,0.0018393276090437672,-6.231365570422273e-5,5.913675529347561e-5,-1.4639615747230053e-6,4,0.04568011207291821,0.09781117095042655,0.24189418590546116
10.009,0.04226033859813512,0.001766251364916661,-6.251249670951491e-5,6.011470167182308e-5,-1.525708569167581e-6,4,0.02551950997633989,0.09441414527384932,0.24198332259137348
10.259,0.037788170419707286,0.0016995897243945745,-6.261947715942425e-5,6.0567759534169294e-5,-1.4952188890897121e-6,4,0.009069685298774582,0.09158355179613015,0.24195922477904927
10.51,0.03330736908971049,0.001637730398166484,-6.2657525513063e-5,6.031025714894464e-5,-1.4593655677045985e-6,4,0.04776225017242881,0.08824240267752699,0.25129379957347064
10.757,0.03130409973794852,0.001580371761610679,-6.267345996656274e-5,5.9353971215406186e-5,-1.5039153095556052e-6,4,0.06589710589272915,0.08395946291285644,0.24678488885992095
11.001,0.03328253200211759,0.0015286005919460945,-6.270377552294502e-5,5.7930772066414784e-5,-1.6338788637092093e-6,4,0.053701443362465524,0.07930221145776478,0.2364294066857786
11.258,0.03795295968030543,0.0014817386036282824,-6.274076411685631e-5,5.63125295891726e-5,-1.8235814593685641e-6,8,0.018508061321818634,0.07471600370524127,0.22338969933781208
11.502,0.03930867556578116,0.0014477073184952683,-6.272460675346833e-5,5.508655937789141e-5,-2.0142170142690827e-6,4,0.022918174975090824,0.07140290960657936,0.2097009637419822
11.751,0.034973079787826114,0.0014213536355750353,-6.262065499738098e-5,5.437263042893622e-5,-2.214806889962795e-6,4,0.051595169835574474,0.06892976592810307,0.19828924645584461
12.002,0.02750167396056972,0.0013949231029969718,-6.24483090286977e-5,5.421192452364912e-5,-2.4090848714743196e-6,4,0.057955816612919875,0.06675580516245658,0.1872588306546198
12.258,0.021218541008200406,0.0013608145884857039,-6.227567314705273e-5,5.4527345039452076e-5,-2.5670925395623694e-6,4,0.04588746596446605,0.06463455828727256,0.1835921908931281
12.512,0.01988743735900128,0.0013178241717790309,-6.216441266239901e-5,5.516616770476194e-5,-2.672015834258811e-6,4,0.030950549807807728,0.06250343303679447,0.1885017240234973
12.762,0.0232525787231763,0.0012706481773667937,-6.209802754674463e-5,5.596935224320011e-5,-2.7623036780088576e-6,4,0.023615711562349297,0.06040322607458604,0.1927095124620021
13.013,0.027406473561909634,0.0012244123294625478,-6.202952273392333e-5,5.680459343106017e-5,-2.888936358071754e-6,4,0.015770529276967978,0.058114858663249266,0.188704360266571
13.264,0.029276363798091686,0.0011817126671630695,-6.194448064509466e-5,5.7545041620114146e-5,-3.0647471202357097e-6,4,0.014222379056372945,0.055476678530717596,0.18028548337927996
13.501,0.028550493353046002,0.0011439339824514012,-6.185028222476094e-5,5.807490802881561e-5,-3.2552024833995806e-6,4,0.015972851313295806,0.052721673092280506,0.17137588760173908
13.753,0.026497704038211688,0.0011046841271757798,-6.173055277107508e-5,5.8477139454895015e-5,-3.460217184493748e-6,4,0.01345073380864796,0.04967926951733464,0.161025466486185
