t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.257,0.16440555096130513,0.021986183929445298,2.3418766925686896e-17,1.178672651758207e-5,7.451791179461972e-7,4,0.002715172580226631,2.3651108126043785,2.6303698574834544
0.504,0.32708931734463825,0.02828680736869974,-8.239936510889834e-18,1.052230698614252e-5,3.6450020632219233e-6,4,0.00969643827806305,3.57855710063658,3.702432931891795
0.752,0.3033140821248969,0.035955436441495445,-8.469180218240169e-14,8.903499296030742e-6,6.9210765521137635e-6,8,0.004447047643198107,6.155224300088568,8.057449779776343
1.003,0.25139221147422564,0.031370135624045975,2.4362773896804274e-11,8.348265690440784e-6,6.885935034810001e-6,12,0.003860331434633271,5.347801759840309,6.20001993355153
1.257,0.22267484775616117,0.022366322221819706,3.3527311811814425e-8,7.112444872829059e-6,4.73921206282992e-6,4,0.00742402057656225,3.9831335477173138,4.427526658934104
1.506,0.21107309140639793,0.016504903531206615,-6.18332720173434e-7,7.163293980130442e-6,3.7403654282378733e-6,8,0.006486644171897769,2.691271390861886,3.172428676759239
1.752,0.20823345842347274,0.013521863489291023,-3.978736522546478e-6,8.084453888055495e-6,4.259426757810897e-6,8,0.00973531482018251,1.8908488648954695,2.3326014497509666
2.004,0.20518407287048854,0.011854300791178132,-9.38040515099589e-6,9.19226377730723e-6,4.704779076370738e-6,8,0.010439686363123472,1.4251149986414362,1.812533107202667
2.254,0.19438830541981317,0.010736003176437229,-1.3783647201616803e-5,1.0345447774649861e-5,4.652737117514928e-6,8,0.011901399309924215,1.1481820773554583,1.481783663561142
2.509,0.182810405503077,0.00984537950436134,-2.0186267468514513e-5,1.1728297677071876e-5,4.246996486362112e-6,12,0.009952583419820247,0.9629822503878713,1.2655737189128593
2.756,0.17256055110467958,0.009174795781260287,-2.9214408549162554e-5,1.2919874000328825e-5,3.6689332217106923e-6,8,0.012865593314777393,0.8505865374990875,1.1378283717518494
3.008,0.1630109042098623,0.00856611459745122,-3.407348535936107e-5,1.3641278284544028e-5,3.0047352674204476e-6,8,0.010461840066742292,0.7796644319085253,1.029652557794938
3.262,0.15400585524042504,0.007821105461317887,-3.6179747401054736e-5,1.3863798403181592e-5,2.329210113031465e-6,8,0.009168796751872144,0.6830793265604,0.9907580266491685
3.505,0.14695957557876133,0.007073739089012393,-4.1354958595784576e-5,1.3909699030593328e-5,1.7686698523599579e-6,8,0.00888525748580025,0.5963757447887154,0.9718886542017735
3.751,0.14261120597253651,0.006403925674187465,-4.238010039138928e-5,1.3964813198055467e-5,1.2691602099171254e-6,4,0.008762581410532946,0.536296672069751,0.9205146880446526
4.001,0.14028769315001824,0.005891879249929457,-4.039144310885134e-5,1.4134924701178334e-5,7.229966347879329e-7,4,0.010784672100067507,0.49943810410148215,0.8684357901389577
4.254,0.1355086228212911,0.005533040129431157,-4.126500117282244e-5,1.4548435794889203e-5,1.0782083509206962e-7,4,0.012698684575735636,0.4660779921899546,0.7873252402798034
4.511,0.12615283947264636,0.0052007697170033795,-4.3978563413289186e-5,1.5207917389698409e-5,-5.067659321127518e-7,4,0.014489402971659146,0.424406064019628,0.7167212344513327
4.757,0.11332089544890978,0.004884222205289753,-4.6215739701470056e-5,1.5901591543562573e-5,-1.0464996914732745e-6,4,0.015976717645312197,0.3846754843877291,0.6695661310968782
5.005,0.09894063307542053,0.004589644854924644,-4.785779089097435e-5,1.65043760728753e-5,-1.5487778298728753e-6,4,0.017019848621503558,0.35066536732144415,0.6276948154040005
5.253,0.08881615599419751,0.0043245125873285495,-4.9315487667100574e-5,1.696888379273787e-5,-2.030892556712668e-6,4,0.017980590620051196,0.3215337777503975,0.5938035792819318
5.511,0.0888405204273018,0.004074363339292983,-5.0672660447246675e-5,1.736948187549903e-5,-2.5301092837276043e-6,4,0.018535114125062105,0.2946333592581165,0.5555465625913604
