t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.253,0.18731942546554345,0.02036115247621964,1.474514954580286e-17,2.3597683709136403e-6,3.2714847987396844e-7,4,0.004699642577407291,2.04581454314076,3.1144900404430906
0.502,0.31132012101591505,0.02439043168305377,1.4181364416110398e-16,4.876026933757256e-6,-1.661784486373091e-6,12,0.006078763175649925,2.918718396026733,3.479769442208569
0.755,0.2939793201999665,0.02807468179330612,9.898699698460134e-13,8.486493504232359e-6,-5.074508630630946e-6,12,0.008531299966393216,4.650106042186421,5.886914188185953
1.002,0.23876529775426383,0.02499817089262191,6.185352730220597e-10,9.492066115249458e-6,-6.902031885019479e-6,8,0.011431459942956294,3.9916322277097995,5.793952736739203
1.256,0.20578647935178151,0.019482202822993278,-1.7755570004183117e-9,9.034350321443453e-6,-8.350522488768779e-6,8,0.015294459658462026,3.0363618581309284,4.893040132464625
1.507,0.18882881259608564,0.014613919106426558,9.861276342487853e-9,1.1752216691495785e-5,-1.0814690876793671e-5,8,0.01903781058322211,2.236273797531717,3.941905789443562
1.755,0.17898905897034573,0.011467015871218799,-2.669216402715474e-7,1.5552396375342277e-5,-1.3970407579981853e-5,8,0.01752253608747165,1.6104763533066797,3.0504117231681724
2.002,0.1718767047004178,0.009641046049974214,-1.4420192294844775e-6,1.7749919245325888e-5,-1.6502418737825537e-5,4,0.059549247033878996,1.1826327860891666,2.3430339393253594
2.256,0.16543873190991057,0.008442850067051649,-3.217327993287498e-6,1.9060039352117997e-5,-1.8234469077755055e-5,4,0.07573657003336548,0.9102461851472448,1.8689849970526575
2.502,0.15943791090686604,0.007566448238941722,-4.939621661579664e-6,2.0105311125360895e-5,-1.9491170054292635e-5,4,0.054472120929367596,0.7435184884109275,1.579200654493315
2.751,0.15345677052675788,0.006841793670943215,-7.647849935693389e-6,2.1174616943561973e-5,-2.0589050990441892e-5,4,0.022478667691805225,0.6279864779577812,1.3652258873468452
3.002,0.14769739655697983,0.006237390938162884,-1.3179410527613088e-5,2.2187267082511048e-5,-2.157316937533192e-5,4,0.01769923660541714,0.54406029240781,1.2132739545158893
3.257,0.14226605377283436,0.005725005802466989,-1.881556624083302e-5,2.3046631674747583e-5,-2.2458539069425502e-5,4,0.051666734875133034,0.47966471424349033,1.0970579143954595
3.507,0.13742222682024077,0.00530039890536057,-2.3055909642720213e-5,2.3739856525831676e-5,-2.3223584569156744e-5,4,0.07562242172906,0.4298759562027309,1.0122843612945587
3.761,0.1328097237598134,0.004930183706481904,-2.7143948196203284e-5,2.439397632109861e-5,-2.3916875422601217e-5,4,0.0901735747437623,0.3885131310831563,0.9419621278571646
4.003,0.12830327220457816,0.004619946958918878,-3.051776770508167e-5,2.5018649387013228e-5,-2.4519987176041365e-5,4,0.09901974577188377,0.354955997314639,0.8826444090733815
4.258,0.12292602609805123,0.004331909175300237,-3.235615628121528e-5,2.5635083909668775e-5,-2.5088028234240644e-5,4,0.10602833662053006,0.3245625551196403,0.829378535630728
4.502,0.11681882395497928,0.004085800979236222,-3.3629985388028416e-5,2.6150879010143257e-5,-2.557233745774504e-5,4,0.11000304793230228,0.2991254350263573,0.7858588416653143
4.757,0.10997110671829662,0.003852825590499761,-3.555310841323609e-5,2.663284074809777e-5,-2.6035234056767434e-5,4,0.11245621530074158,0.27556113056973924,0.7401161912713976
