t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
0.251,0.6359037705911053,1.9678431118742061,2.6642263088722662e-5,9.439171042598845e-6,2.393791560538869e-6,4,0.0019799876195598382
0.506,0.42409177748998045,1.5044923697962347,5.8392952009236356e-5,1.4773866647280487e-5,1.4345454264786275e-5,4,0.00287409961664674
0.751,0.3938300041320275,1.347957188135876,4.236095102131972e-5,3.0550246978399236e-5,2.157209362648747e-5,4,0.00683664537544154
1.007,0.3506147576748351,1.1711657338224033,-0.00010142611697983242,4.467590554817738e-5,2.0864113914725308e-5,8,0.01006459606376426
1.252,0.3344685622955914,1.032420985684932,0.0005059220283218906,5.190303674282652e-5,1.3333808290617688e-5,4,0.036054256095964424
1.503,0.2995876932304272,0.9283987083287808,0.0013439701639352537,5.56784532385086e-5,3.6011255168922255e-6,4,0.04764136223943506
1.752,0.27342675262807653,0.8521855640681242,0.0030577817996228873,5.9495197462859234e-5,-4.132319823571932e-6,4,0.05371343722288599
2.006,0.26414053827408157,0.78683992818521,0.00560168674048205,6.440933875015274e-5,-8.785122296020727e-6,4,0.05637964100400485
2.259,0.24810873644069595,0.7273111151920484,0.008805510296321178,6.864028237709608e-5,-1.0677273838681117e-5,4,0.05204358715062103
2.508,0.2384070226946514,0.6758310395764142,0.01242429088272596,7.116500300322657e-5,-1.0982685081129244e-5,4,0.048068298315625584
2.75,0.23435108854424086,0.6343051946658591,0.016174309877133305,7.312371344248816e-5,-1.1212721363705235e-5,4,0.03931519373523127
3.013,0.23377292493683893,0.5972920473550477,0.020475717261646657,7.551772927006686e-5,-1.2519586868104206e-5,4,0.018014012874052594
3.26,0.22960559040407427,0.5655665000797531,0.024841931318043846,7.721559996070655e-5,-1.4540265819203888e-5,4,0.01900573410557679
3.51,0.21934065525585517,0.5356715073211162,0.0294738150622703,7.721202267360921e-5,-1.6202422562600974e-5,4,0.02913145911874264
3.752,0.2054303240647903,0.5094997308863605,0.03405079508910867,7.555390648302775e-5,-1.6356235496750583e-5,4,0.03129088673016098
4.002,0.19160432893871934,0.4849903831837996,0.03883270906141633,7.300764564133402e-5,-1.4643562236326979e-5,4,0.05202448596009065
4.261,0.18114866785868564,0.4608727677207119,0.04383659667693138,7.027296446636277e-5,-1.1480274139814397e-5,4,0.07166103728089443
4.511,0.17372680398860452,0.43802459850941394,0.04879144051882295,6.774976872510793e-5,-7.876594475850108e-6,4,0.0832148858703749
4.761,0.16685496847183925,0.41707390679963535,0.05406536152156246,6.575624225230425e-5,-4.452914648664793e-6,4,0.09189260168012342
5.013,0.15964679741141066,0.39876724126251567,0.05989136003584251,6.55295784428524e-5,-1.9530117093999484e-6,4,0.10639276431705438
5.253,0.15167111048037027,0.38226176169944354,0.06653068848317759,6.848822657057918e-5,-7.276900142636013e-7,4,0.1361435106263825
5.513,0.14078134648295026,0.36464629923349734,0.07628394661840542,7.560249332529665e-5,-3.540377535103724e-7,4,0.1895813118895715
5.758,0.1309527076044423,0.3484755287857382,0.08836844332305556,8.485680627333664e-5,-2.98699378430864e-7,4,0.2483258673442732
6.003,0.12357082504987901,0.33252652603408694,0.10249682964319815,9.446101059692034e-5,-1.0013524858874109e-8,4,0.28381024881133354
6.265,0.11788237086949692,0.3157111411031734,0.11839885853914832,0.00010313737535994594,6.642295801867738e-7,4,0.24883145646398638
6.513,0.11350062588591044,0.3005241226364102,0.13295294776412042,0.0001090015652770842,1.3800337136936337e-6,4,0.1775872026255602
6.763,0.10872474951101353,0.2862931088396155,0.14660028448933538,0.00011296863348881173,1.9589736186449267e-6,4,0.16305738860357416
7.015,0.10340960935586938,0.27310754585821057,0.15936686974659364,0.00011609799106069087,2.4742409705267195e-6,4,0.15471438616646357
7.251,0.09917354898530953,0.2616491400109918,0.1707479343755632,0.00011890149371471163,3.162978659400487e-6,4,0.14902378274873945
