t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.251,1.8060819455536379,0.2713091142828322,0.0,3.57651000999133e-5,6.412560633177297e-6,4,0.0033151525268372848,27.851395937343472,3.9777667562686894
0.503,1.1057363409864196,0.267793178445692,1.644774851296528e-17,9.721752551762313e-5,1.2308550640151512e-5,4,0.01244596489570146,16.676494622569464,2.9201096279285412
0.752,0.9854625747856386,0.20543778869826043,-3.0839528461809905e-17,0.00012228236310387212,1.4123994667142203e-5,4,0.010124375433790186,8.702828527318315,2.607955735692359
1.006,1.0124689128373916,0.17324382013357548,-8.172269445523211e-14,0.00011581694551055913,1.7454411072775218e-5,4,0.021131074710401928,7.98354361926852,3.1321666062807303
1.254,1.0445212135352546,0.17319585917041425,-4.884147243023596e-10,0.00010791601644596307,2.0845799656743093e-5,4,0.01773585602268213,10.636613798365916,3.539717784669872
1.506,1.032748056512367,0.16151336940095842,-8.92363911982104e-9,9.983782243234437e-5,2.4872732872337956e-5,8,0.0072922598100852425,10.971438027104522,4.324551500350953
1.755,1.0050584115414682,0.14484411453760754,-1.8319021752619432e-6,8.593633910169873e-5,3.096757351202849e-5,4,0.017190069442036982,9.645807696983482,3.5119926262248824
2.009,0.9118742370274683,0.13928739094645037,-1.1389693922852845e-5,7.918153342724693e-5,3.8831502019184525e-5,8,0.0087084647011806,9.013472181201195,2.5953027371344266
2.255,0.8203580807157583,0.13810781171041686,7.2472007936855254e-6,7.959584911185445e-5,4.6530468325236024e-5,4,0.04168504345779062,8.447956943007709,2.6500324047583463
2.501,0.7607114662986031,0.13624470196339655,2.806059908635616e-5,8.091012774595143e-5,5.188268456426269e-5,4,0.05760218923933886,7.956595541433747,2.780239363365102
2.761,0.7091758516644405,0.13305339020845708,3.191332119930859e-5,8.859096178583167e-5,5.462931703619285e-5,4,0.07780594367139583,7.639410367008413,2.7948696607640815
3.006,0.6708470928455188,0.12964220133577872,2.5854376933647926e-5,9.625002242000643e-5,5.5765019893374124e-5,4,0.11469689794024893,7.330738875215099,2.378388791295015
3.251,0.638895705721268,0.12750107351560763,1.9585217474413938e-5,0.00010097004817750513,5.600587750576819e-5,4,0.13462051424423122,7.245036198761968,2.229390397619146
3.509,0.6086039201361522,0.1263428548133476,1.6028400614030352e-5,0.00011076517306486191,5.58762367312348e-5,4,0.12370124097508567,7.439491323037251,2.171125686701438
3.755,0.5857493615108825,0.12365207032785928,7.99097828627185e-6,0.00013074385441083882,5.536602401896679e-5,4,0.10690530242768798,7.428588518370739,2.0532387627531614
4.006,0.5695666515318928,0.11971510200592046,-5.3813136580581495e-6,0.00015676044794164136,5.455846164910679e-5,4,0.09217753862038071,7.221615370166857,2.0856097529343836
4.254,0.5525898967326575,0.11654496502358698,-1.4512810779792545e-5,0.00018122597386351313,5.35689073926716e-5,4,0.027322452489969687,7.199847791716676,2.086508707845682
4.508,0.531344176457426,0.1136578567023655,-1.5450760006073692e-5,0.0002024895630030892,5.234286473551515e-5,4,0.017003914710096775,7.232495299098559,2.0768336209758838
4.751,0.5137010062386843,0.11035558504999331,-9.843215661687702e-6,0.00022092635205953222,5.0940657003680325e-5,4,0.018768067796279177,7.146736959669574,2.1068950420860366
5.005,0.4996071153011106,0.10637200159140893,-7.4426392431712504e-6,0.00023965495736116192,4.9210841062333804e-5,4,0.01352840505433403,6.958254996481771,2.1629516871435115
5.25,0.4856944096530184,0.10247347856282372,-1.2224187341964965e-5,0.00025526361071320216,4.7202353385236993e-5,4,0.011196601375806711,6.725085060623179,2.2349781311519483
5.51,0.46555294543242304,0.0984824864213906,-1.9550809053829968e-5,0.00026606492601361544,4.4598948422026125e-5,4,0.013412693958046997,6.48649178025997,2.273180778811705
5.754,0.44335670496947205,0.09453913035456883,-2.577807875318809e-5,0.0002703927743781998,4.1461337703719184e-5,4,0.01844424432983529,6.28450690919566,2.349101311391406
6.006,0.42342199703127315,0.08986488662160616,-2.9799421819403585e-5,0.00027112920333739407,3.7352844355143696e-5,4,0.0207835921231073,6.0192194857831565,2.4003881381566714
6.254,0.4110438331570605,0.08492267038485811,-3.239146072619683e-5,0.0002712034389644048,3.257439053843484e-5,4,0.019721075143836454,5.675265890619665,2.3697728879172746
6.506,0.40347872690855185,0.08006803516073167,-3.274914117028598e-5,0.00027320042363127576,2.730140939604113e-5,4,0.0196964558830703,5.317540761342452,2.2869074363391526
6.758,0.3948560047948169,0.07558851120469484,-3.0152520886431063e-5,0.00027827865418976315,2.177807296379257e-5,4,0.023361805179965497,4.995428319143892,2.180795467515408
7.011,0.3817493393808892,0.07148944625799558,-2.719400759333073e-5,0.00028638069293992764,1.619378662121163e-5,4,0.025155504923547893,4.705162181868203,2.087337850230606
7.253,0.365532163140386,0.0678635182313846,-2.5672621753084962e-5,0.0002964368310569956,1.1017279130767025e-5,4,0.021582011141511332,4.44070200803837,1.9842966752258713
7.508,0.3467269238538287,0.06423824980830735,-2.427205460094216e-5,0.00030931286593645363,5.848321800774636e-6,4,0.013250162551139264,4.161630673759808,1.8797312942090731
7.762,0.32865623877686356,0.060773677415869656,-2.162762417942254e-5,0.0003234166678981834,9.966840196079806e-7,8,0.005829167941631291,3.880502300148824,1.7889554710719475
8.004,0.3136200085335345,0.057666673260243176,-1.7362530086249774e-5,0.00033580475996895364,-3.3550746175583595e-6,8,0.006886026469527998,3.6244686770244745,1.7080916762073939
8.258,0.29943223948906095,0.054616830550758375,-1.1801441394376366e-5,0.0003456105257591908,-7.729013778543787e-6,8,0.00871846912554997,3.3795322788485462,1.6217261174454702
8.512,0.28555227701037805,0.051750783827425303,-6.365506616238361e-6,0.00035147002369955273,-1.1935362348426319e-5,8,0.01160828372164522,3.1575418735014993,1.556072241247051
