t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
0.254,1.2852722799221492,1.9132828262132304,-1.1127147249444258e-15,2.6950858567225065e-17,-1.0274579182921177e-19,4,0.02575241173191405
0.506,0.8549055491837214,1.420679682134249,1.5226115101355336e-16,2.2579277275150775e-16,-1.3009842673484534e-19,4,0.10692112431222288
0.751,0.71040496753256,1.180928714594504,-1.2728541503580066e-16,3.3270180786239225e-17,4.30374809833069e-20,8,0.06666807170585368
1.003,0.6436539461216737,0.9654541743264585,4.2818692914762724e-16,8.79380872316304e-17,2.8707148108041905e-22,4,0.3124812775691144
1.251,0.5867274439785348,0.8015121757410183,1.0160059792173692e-15,4.6688860438830505e-17,-1.7144251358290035e-19,4,0.02053243009892312
1.503,0.5170733964491201,0.6886875883965413,6.50659631956664e-16,5.592977286974869e-17,5.767778377195281e-20,4,0.10393047620431267
1.759,0.4618177831451279,0.6117526025530072,7.39681040228567e-16,9.945603656737523e-17,1.6204807260298373e-20,4,0.2294879067743979
2.002,0.4345210406109534,0.5568300072919634,7.960290389469076e-16,1.6198865757040923e-17,-2.342974522091312e-19,12,0.16009371008022605
2.259,0.42078851168559606,0.5089615340838302,1.898348994646759e-16,7.472210760891593e-18,4.226161673303721e-19,4,0.16297856926177123
2.51,0.41070431883568587,0.47065381227751085,6.528115642639046e-16,1.4401969141132013e-17,-1.3855989702200004e-19,4,0.0903678033769761
2.766,0.40030437159822463,0.4394170522195214,7.60026297491878e-16,1.1209841493818612e-16,-7.491317792608043e-20,12,0.06617885212258764
3.005,0.3889815141553656,0.4156887305394219,6.03449444597102e-16,1.8518435097440125e-17,3.420224783153993e-19,12,0.02850685509172268
3.262,0.3727300295349986,0.3943900187224774,-5.816636721101518e-17,3.9146635221732044e-17,-2.6102689526702074e-19,4,0.019282879085183294
3.506,0.35318559193446486,0.3770639308304751,-1.1180853249768036e-16,1.9793132753485972e-17,-5.465940731103946e-19,4,0.02941016484699632
3.755,0.331702357746741,0.36094019602372784,4.233227864683102e-17,1.653003555084826e-17,-1.6518750994499083e-19,8,0.019829099741366814
4.013,0.3119615521365534,0.3447241686738789,9.512220504357732e-17,4.938750541700351e-17,5.899378366795934e-19,4,0.0399484750856704
4.262,0.2970217316645967,0.32926002247431696,8.914026772408331e-16,5.986171579229742e-17,-4.613678879788689e-19,4,0.049436120313366236
4.503,0.28576478622174944,0.3150685466839616,-3.1622015404833616e-16,4.724538093099057e-17,3.541282550262773e-19,4,0.051947357648251515
4.753,0.27571956773383205,0.30148366175013336,-7.405993445338453e-16,4.2349864031972236e-17,-2.6854976601524185e-19,4,0.07486334852209871
5.011,0.2657266344349768,0.2885385873067938,2.2997878605923594e-19,2.1712646896905746e-17,3.6281757706762365e-20,4,0.12125643981350302
5.251,0.2558480645488492,0.27690286325846464,1.3594206765877957e-16,5.725197651904712e-17,5.566038431859431e-19,4,0.16278035825904924
5.513,0.24432776483361934,0.2641329103304604,3.278349972726074e-16,3.566403788660992e-17,-2.6035344742738186e-19,4,0.18670770988580102
5.755,0.23377594929545664,0.252262356106457,2.0973203594387157e-16,9.169418266896409e-17,-2.6871319862869613e-20,4,0.1904866095598651
6.019,0.2226372806615444,0.239168001851299,-2.820229825005645e-16,2.3151684365059018e-17,8.482093735477808e-20,4,0.19744977125791793
6.261,0.21254624150026533,0.22732462028895803,-1.8430725381000257e-16,7.776741069937785e-18,3.9845577947761054e-19,4,0.2456350198969993
6.503,0.20247468145250885,0.21604149785903576,1.3136751003756325e-16,4.1511931943085986e-17,-1.3848366048655764e-19,4,0.30294667185493895
6.767,0.1921492322011561,0.20474859177617255,-1.8113821675727616e-16,6.899337849619336e-17,1.2967569616044866e-19,4,0.3328389004907101
7.008,0.18421697464929546,0.19548257836463342,2.76854542811492e-16,4.174573880434828e-17,-1.150955248562751e-19,4,0.3341317856153565
7.269,0.1778000869677698,0.18651625130341695,-2.792439587531749e-16,9.501312691911015e-17,2.9643306137467755e-20,4,0.3064230297107972
7.507,0.1737062994540405,0.1792042467334367,-1.652082467147584e-17,2.3284704835611723e-18,2.159288091153288e-20,4,0.3068550666193247
7.765,0.17023912044988165,0.17206680641946037,-4.3541869997011043e-16,5.950047147202851e-17,-6.580832149860561e-19,4,0.30898590620969746
8.002,0.1670293080516594,0.16620552146331274,-4.7660854731773747e-17,1.0572697434534349e-16,6.569381610140246e-19,4,0.2264855055889904
8.26,0.16283807553686097,0.16049494815608864,-4.121958788418936e-16,9.259638143602376e-17,-2.9095955274721617e-19,4,0.11625748365811107
8.521,0.1577449060708665,0.1554208358209485,1.817076179193884e-16,1.2804206689989856e-17,-5.174001361000005e-19,12,0.0785231941531081
8.763,0.1523936807635231,0.15121497038185905,-5.43080051755172e-16,5.3642289257634004e-17,-9.62386743902008e-20,4,0.05948092496314454
9.009,0.14674228293595623,0.14727240678945203,1.255614752830384e-16,3.412949637653245e-17,-6.965665248674873e-20,4,0.09002955075153232
9.26,0.1413869378831684,0.1433994485483508,-4.3257221794531695e-17,6.162262387565833e-17,2.0035656297051663e-19,4,0.08938884487280661
9.514,0.13687016400959554,0.139432623785665,7.689706964865402e-16,1.0302559023369145e-16,-4.1715629137168177e-19,4,0.06715606773010217
9.772,0.13334129186855517,0.13529536793353233,2.0230622018415457e-16,1.5168894809719333e-17,-1.3822133737476262e-19,4,0.04579870503972091
10.009,0.13076767542793027,0.13140389525955204,-3.039764373936678e-16,2.598979143184219e-17,3.6098221640609454e-19,4,0.03813386869453908
10.271,0.12821571686599337,0.12707366030657746,3.6802644102258544e-16,2.3189802996660625e-17,5.628209177905612e-19,12,0.03666420569344311
10.511,0.12580716493787597,0.12321543307505181,1.0187538316688017e-16,4.516161761191184e-17,6.473546182231819e-20,12,0.03395409851674902
10.75,0.12307458033786964,0.11954677987155068,6.905637189029034e-17,1.1709400949983368e-17,9.19125628603615e-19,4,0.0380705877783812
11.014,0.11957935016976194,0.11581282570493505,-2.8392281087773987e-16,1.5416545924661231e-18,1.22413248846702e-19,4,0.05032815180487904
11.253,0.11604938028762571,0.11269825390443447,-1.6995581924659235e-16,4.1482028669639365e-17,-1.2623177668940373e-19,4,0.058866861417025705
11.515,0.11205812447854306,0.10951645345241133,-9.035028079676128e-17,5.908223730541012e-18,4.442222120791282e-19,4,0.065600459025401
11.753,0.10859497921440156,0.10676730972682263,-5.811059856854091e-16,6.756695579447588e-17,2.3480371498321995e-20,4,0.06642487879752837
12.014,0.10516832067683,0.10383455866617824,2.311258984012537e-16,3.8738049082758153e-17,-3.429789267056097e-20,4,0.06158080341351381
12.251,0.10246787225712448,0.10122980404668248,-1.422426289888973e-16,2.6791745569097338e-17,-5.680222190702896e-19,4,0.055214138741115484
12.511,0.09992291590969121,0.09843868294539385,9.141252285938884e-17,2.325432072758646e-17,6.334995260606015e-19,4,0.05242282232184967
12.77,0.097704327230849,0.09574430576073491,-2.7664014476990433e-16,5.530271223467676e-18,5.311000098769748e-20,4,0.05512771299945069
13.005,0.09582769578440181,0.09339409573892914,-1.374602874106063e-16,5.0837499737798164e-17,3.280700269040406e-19,4,0.05976855704642653
13.264,0.09377803256087423,0.09092630431664697,-2.617617198339387e-16,2.344057305382381e-17,-1.1459735137289497e-19,4,0.06935708308265565
13.522,0.0916735283975919,0.08857906343935343,-4.0886765617547365e-16,1.7262155156343442e-17,-1.2476973326774657e-19,4,0.07990600423612809
13.758,0.08972336631259428,0.08653876648239697,-2.7721982919332053e-16,3.474897976974343e-17,3.43986144823425e-19,4,0.09024332218677379
14.018,0.08759154739065247,0.08437668485045871,-2.4216059342587684e-16,6.127518856490537e-18,3.6470921149026606e-19,4,0.0989729371685028
14.255,0.08571327911539814,0.08246352959682879,1.991653647649712e-17,5.116932607023479e-17,-2.402212182205457e-19,4,0.10200898944788522
14.517,0.08374932177806982,0.0803917561114892,1.5733293612957506e-16,2.4403487522055242e-17,1.5340098189819026e-19,4,0.10256158958516555
