variant,kind,s,phi_link,meanB_loop,meanB_farhalf,loop_len
k0,link,0.7000,-2.03937e-18,0.293534,0.216161,4.39823
k0,ctrl,0.7000,-2.84434e-18,0.00930597,0.00836043,4.39823
k0,link,0.7980,-1.21672e-18,0.241375,0.139763,5.01398
k0,ctrl,0.7980,-1.275e-18,0.00900301,0.00785073,5.01398
k0,link,0.9097,1.05192e-18,0.202373,0.0913117,5.71594
k0,ctrl,0.9097,-6.94991e-18,0.0086477,0.00726443,5.71594
k0,link,1.0371,-1.90186e-18,0.17174,0.0599581,6.51617
k0,ctrl,1.0371,-5.9197e-18,0.00823995,0.00660811,6.51617
k0,link,1.1823,1.38875e-18,0.146946,0.0395163,7.42843
k0,ctrl,1.1823,-8.30092e-18,0.00778321,0.0058958,7.42843
k0,link,1.3478,-2.11218e-18,0.126471,0.026134,8.46842
k0,ctrl,1.3478,4.95726e-18,0.00728475,0.00514887,8.46842
k0,link,1.5365,-7.86961e-19,0.109319,0.017341,9.65399
k0,ctrl,1.5365,4.52337e-18,0.00675533,0.00439422,9.65399
k0,link,1.7516,-1.43353e-18,0.0948009,0.0115417,11.0056
k0,ctrl,1.7516,-6.07026e-18,0.00620814,0.003661,11.0056
k0,link,1.9968,2.50406e-18,0.0824157,0.00770249,12.5463
k0,ctrl,1.9968,-9.85523e-19,0.00565729,0.00297651,12.5463
k0,link,2.2764,1.75056e-18,0.0717864,0.00515213,14.3028
k0,ctrl,2.2764,-4.09879e-18,0.00511623,0.0023624,14.3028
k0,link,2.5951,-8.60233e-18,0.0626217,0.00345274,16.3052
k0,ctrl,2.5951,1.88666e-18,0.0045964,0.00183221,16.3052
k0,link,2.9584,-2.77266e-19,0.0546911,0.00231743,18.5879
k0,ctrl,2.9584,-2.53348e-18,0.00410647,0.00139077,18.5879
k0,link,3.3725,-4.14779e-18,0.0478089,0.00155734,21.1903
k0,ctrl,3.3725,-1.11883e-17,0.00365215,0.00103525,21.1903
k0,link,3.8447,-1.55388e-18,0.0418231,0.00104757,24.1569
k0,ctrl,3.8447,2.04691e-18,0.0032364,0.000757393,24.1569
k0,link,4.3829,-4.55643e-18,0.0366077,0.000705201,27.5389
k0,ctrl,4.3829,-1.55409e-17,0.00285998,0.000545857,27.5389
k0,link,4.9966,-1.88882e-18,0.0320573,0.000475012,31.3943
k0,ctrl,4.9966,4.41802e-18,0.00252199,0.000388422,31.3943
k0,link,5.6961,2.96168e-18,0.0280825,0.000320109,35.7895
k0,ctrl,5.6961,6.36651e-19,0.00222042,0.000273471,35.7895
k0,link,6.4935,2.79679e-19,0.0246075,0.000215799,40.8
k0,ctrl,6.4935,-1.08644e-17,0.00195266,0.000190863,40.8
k0,link,7.4026,-1.41735e-17,0.0215674,0.00014552,46.512
k0,ctrl,7.4026,5.67364e-18,0.00171575,0.000132268,46.512
k0,link,8.4390,-6.14064e-18,0.0189062,9.81498e-05,53.0237
k0,ctrl,8.4390,5.682e-19,0.00150669,9.11421e-05,53.0237
k0,link,9.6204,-2.83683e-19,0.0165757,6.62109e-05,60.447
k0,ctrl,9.6204,4.47403e-18,0.00132256,6.25195e-05,60.447
k0,link,10.9673,7.1121e-18,0.0145341,4.4671e-05,68.9096
k0,ctrl,10.9673,2.3332e-18,0.00116061,4.27326e-05,68.9096
k0,link,12.5027,8.51321e-20,0.012745,3.01416e-05,78.557
k0,ctrl,12.5027,4.40945e-18,0.00101829,2.91261e-05,78.557
k0,link,14.2531,1.57907e-18,0.011177,2.03394e-05,89.5549
k0,ctrl,14.2531,5.94053e-18,0.000893313,1.98085e-05,89.5549
k0,link,16.2485,2.17985e-18,0.0098024,1.37258e-05,102.093
k0,ctrl,16.2485,-6.1928e-18,0.000783613,1.34487e-05,102.093
k1,link,0.7000,-0.514724,0.3136,0.258998,4.39823
k1,ctrl,0.7000,-3.90201e-08,0.00962551,0.00864519,4.39823
k1,link,0.7980,-0.506064,0.243685,0.146376,5.01398
k1,ctrl,0.7980,-5.40812e-08,0.00931096,0.00811658,5.01398
k1,link,0.9097,-0.504917,0.203299,0.094573,5.71594
k1,ctrl,0.9097,-7.37655e-08,0.00894218,0.00750877,5.71594
k1,link,1.0371,-0.504758,0.172274,0.0619913,6.51617
k1,ctrl,1.0371,-1.00074e-07,0.00851915,0.00682868,6.51617
k1,link,1.1823,-0.504736,0.147278,0.0408319,7.42843
k1,ctrl,1.1823,-1.31706e-07,0.00804551,0.00609095,7.42843
k1,link,1.3478,-0.504733,0.126681,0.0269926,8.46842
k1,ctrl,1.3478,-1.6577e-07,0.00752885,0.00531779,8.46842
k1,link,1.5365,-0.504732,0.109452,0.017904,9.65399
k1,ctrl,1.5365,-1.99803e-07,0.00698037,0.00453707,9.65399
k1,link,1.7516,-0.504731,0.0948848,0.0119124,11.0056
k1,ctrl,1.7516,-2.31675e-07,0.00641377,0.00377896,11.0056
k1,link,1.9968,-0.504731,0.0824673,0.00794768,12.5463
k1,ctrl,1.9968,-2.5909e-07,0.00584366,0.00307161,12.5463
k1,link,2.2764,-0.50473,0.071817,0.00531488,14.3028
k1,ctrl,2.2764,-2.79919e-07,0.00528393,0.0024373,14.3028
k1,link,2.5951,-0.50473,0.0626385,0.00356111,16.3052
k1,ctrl,2.5951,-2.92724e-07,0.00474639,0.00188991,16.3052
k1,link,2.9584,-0.50473,0.054699,0.0023898,18.5879
k1,ctrl,2.9584,-2.96963e-07,0.00423996,0.00143431,18.5879
k1,link,3.3725,-0.50473,0.0478112,0.00160577,21.1903
k1,ctrl,3.3725,-2.92951e-07,0.00377048,0.00106752,21.1903
k1,link,3.8447,-0.504729,0.041822,0.00108004,24.1569
k1,ctrl,3.8447,-2.81682e-07,0.00334098,0.000780906,24.1569
k1,link,4.3829,-0.504729,0.0366045,0.000727007,27.5389
k1,ctrl,4.3829,-2.64581e-07,0.00295219,0.000562753,27.5389
k1,link,4.9966,-0.504729,0.0320529,0.000489671,31.3943
k1,ctrl,4.9966,-2.43259e-07,0.00260316,0.000400417,31.3943
k1,link,5.6961,-0.504729,0.0280776,0.000329972,35.7895
k1,ctrl,5.6961,-2.19297e-07,0.00229179,0.000281901,35.7895
k1,link,6.4935,-0.504729,0.0246025,0.00022244,40.8
k1,ctrl,6.4935,-1.94113e-07,0.00201535,0.000196739,40.8
k1,link,7.4026,-0.504729,0.0215625,0.000149994,46.512
k1,ctrl,7.4026,-1.68876e-07,0.00177079,0.000136336,46.512
k1,link,8.4390,-0.504729,0.0189016,0.000101165,53.0237
k1,ctrl,8.4390,-1.4448e-07,0.00155499,9.39427e-05,53.0237
k1,link,9.6204,-0.504729,0.0165714,6.8244e-05,60.447
k1,ctrl,9.6204,-1.21557e-07,0.00136494,6.44394e-05,60.447
k1,link,10.9673,-0.504729,0.0145301,4.60421e-05,68.9096
k1,ctrl,10.9673,-1.00505e-07,0.00119778,4.40443e-05,68.9096
k1,link,12.5027,-0.504728,0.0127415,3.10664e-05,78.557
k1,ctrl,12.5027,-8.1535e-08,0.00105089,3.00198e-05,78.557
k1,link,14.2531,-0.504728,0.0111738,2.09634e-05,89.5549
k1,ctrl,14.2531,-6.4708e-08,0.000921907,2.04162e-05,89.5549
k1,link,16.2485,-0.504728,0.00979952,1.41468e-05,102.093
k1,ctrl,16.2485,-4.99808e-08,0.000808691,1.38611e-05,102.093
k2,link,0.7000,-0.59322,0.320915,0.274024,4.39823
k2,ctrl,0.7000,1.08023e-07,0.00969572,0.00870779,4.39823
k2,link,0.7980,-0.583858,0.244171,0.147613,5.01398
k2,ctrl,0.7980,1.27265e-07,0.00937864,0.00817504,5.01398
k2,link,0.9097,-0.582636,0.203568,0.0952716,5.71594
k2,ctrl,0.9097,1.43599e-07,0.00900692,0.00756252,5.71594
k2,link,1.0371,-0.582468,0.172456,0.062437,6.51617
k2,ctrl,1.0371,1.51483e-07,0.00858055,0.00687722,6.51617
k2,link,1.1823,-0.582446,0.147409,0.0411213,7.42843
